title		url		author		date		tags
The Great Sort: Part I		https://www.dcpolicycenter.org/publications/the-great-sort-part-i/		David Rusk		26-Jun-18		"D.C. History,  Demographics "
A portrait of D.C.’s older adults		https://www.dcpolicycenter.org/publications/a-portrait-of-d-c-s-older-adults/		Ellen Squires		22-Jun-18		"Articles,  Demographics "
Primer on research-practice partnerships		https://www.dcpolicycenter.org/publications/primer-on-research-practice-partnerships/		D.C. Policy Center		18-Jun-18		"Articles,  Education,  Education Policy Initiative "
The carbon tax is not a freebie		https://www.dcpolicycenter.org/publications/carbon-tax-impacts/		Yesim Sayin Taylor		18-Jun-18		"Articles,  Business Conditions,  Economy,  Environment,  Taxes "
"D.C. needs research for school improvement and audit for oversight, but not from the same source"		https://www.dcpolicycenter.org/publications/d-c-needs-both-research-for-school-improvement-and-audit-for-oversight-but-not-from-the-same-source/		Steven Glazerman & D.C. Policy Center		13-Jun-18		"Articles,  Education,  Education Policy Initiative "
D.C.’s startup scene		https://www.dcpolicycenter.org/publications/d-c-s-start-up-scene/		Shirin Arslan		1-Jun-18		"Articles,  Business Conditions "
Reducing barriers for job-seekers		https://www.dcpolicycenter.org/publications/reducing-barriers-for-job-seekers-in-d-c-and-the-metro-region/		Bruce Ormond Grant		23-May-18		"Articles,  Poverty and Income Inequality,  Workforce and the Labor Market "
District’s tax policy is moving away from first principles		https://www.dcpolicycenter.org/publications/tax-policy-first-principles/		Yesim Sayin Taylor		21-May-18		"Articles,  Budget,  Taxes "
FIRST TAKE: Don’t Decouple D.C. from the Federal Estate Tax		https://www.dcpolicycenter.org/publications/first-take-dont-decouple-d-c-from-the-federal-estate-tax/		David Brunori		17-May-18		"Articles,  Business Conditions,  First Take,  Taxes "
Education Policy Initiative Director Chelsea Coffin’s testimony at the Public Oversight Roundtable on the Future of School Reform in the District of Columbia		https://www.dcpolicycenter.org/publications/testimony-at-the-public-oversight-roundtable-on-the-future-of-school-reform/		Chelsea Coffin		16-May-18		"Education,  Education Policy Initiative,  Testimony "
FIRST TAKE: Targeted property taxes are not sound policy choices		https://www.dcpolicycenter.org/publications/first-take-targeted-property-taxes-are-not-sound-policy-choices/		David Brunori		16-May-18		"Articles,  Budget,  Business Conditions,  First Take,  Taxes "
"Where telework is headed, and what it could mean for D.C."		https://www.dcpolicycenter.org/publications/where-telework-is-headed-and-what-it-could-mean-for-d-c/		Mike Maciag		15-May-18		"Articles,  Business Conditions "
Public charter schools in the neighborhood		https://www.dcpolicycenter.org/publications/public-charter-schools-in-the-neighborhood/		Chelsea Coffin		3-May-18		"Articles,  Education,  Education Policy Initiative "
The Case for the Georgetown-Rosslyn Gondola		https://www.dcpolicycenter.org/publications/the-case-for-the-georgetown-rosslyn-gondola/		Guest Contributor		2-May-18		"Articles,  Transportation "
How the D.C. region is responding to the opioid crisis		https://www.dcpolicycenter.org/publications/how-the-d-c-region-is-responding-to-the-opioid-crisis/		Matthew Pembleton & Kathryn Zickuhr		30-Apr-18		"Health,  Public Safety,  Reports "
Could gondolas and water taxis improve intraregional transportation?		https://www.dcpolicycenter.org/publications/could-gondolas-and-water-taxis-improve-intraregional-transportation/		Alon Levy		26-Apr-18		"Articles,  Transportation "
Schools in the Neighborhood: Exploring the Data		https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood-exploring-the-data/		Chelsea Coffin & Simone Roy		19-Apr-18		"Articles,  Education,  Education Policy Initiative "
Schools in the Neighborhood: Full Report		https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood/		Chelsea Coffin		17-Apr-18		"Education,  Education Policy Initiative,  Reports "
Can Neighborhood Characteristics Explain Enrollment at In-Boundary Schools?		https://www.dcpolicycenter.org/publications/schools-in-the-neighborhood-summary/		Chelsea Coffin		17-Apr-18		"Articles,  Education,  Education Policy Initiative "
Taking Stock of the District’s Housing Stock: The Full Report		https://www.dcpolicycenter.org/publications/taking-stock-full-report/		Yesim Sayin Taylor		27-Mar-18		"Demographics,  Housing,  Reports "
"Taking Stock of the District’s Housing Stock: Capacity, Affordability, and Pressures on Family Housing"		https://www.dcpolicycenter.org/publications/taking-stock/		Yesim Sayin Taylor		27-Mar-18		"Articles,  Demographics,  Housing "
Is maglev right for D.C.?		https://www.dcpolicycenter.org/publications/is-maglev-right-for-d-c/		Alon Levy		22-Mar-18		"Articles,  Transportation "
Testimony from Executive Director Yesim Sayin Taylor on the Comprehensive Plan Amendment Act of 2018		https://www.dcpolicycenter.org/publications/testimony-from-executive-director-yesim-sayin-taylor-on-the-comprehensive-plan-amendment-act-of-2018/		D.C. Policy Center		20-Mar-18		"Housing,  Testimony "
D.C. Government just released a list of (nearly) all of its data		https://www.dcpolicycenter.org/publications/dc-government-enterprise-dataset-inventory-release/		Kate Rabinowitz		15-Mar-18		"Articles,  Data,  DataLensDC "
How military employment in D.C. has changed over time		https://www.dcpolicycenter.org/publications/how-military-employment-in-dc-has-changed-over-time/		Mike Maciag		12-Mar-18		"Articles,  Workforce and the Labor Market "
The knowns and unknowns of Airbnb in D.C.		https://www.dcpolicycenter.org/publications/the-knowns-and-unknowns-of-airbnb-in-d-c/		Kate Rabinowitz		1-Mar-18		"Articles,  Business Conditions,  DataLensDC,  Housing "
Characteristics of neighborhoods with high in-boundary school enrollment		https://www.dcpolicycenter.org/publications/characteristics-neighborhoods-high-boundary-school-enrollment/		Chelsea Coffin & Simone Roy		27-Feb-18		"Articles,  Education,  Education Policy Initiative "
How to build bus lanes and bike lanes—faster		https://www.dcpolicycenter.org/publications/bus-lanes-bike-lanes-bureacracy/		Canaan Merchant		20-Feb-18		"Articles,  Transportation "
The loss of DC TAG could disrupt college attendance among the children of low-income families		https://www.dcpolicycenter.org/publications/loss-dc-tag-disrupt-college-attendance-among-children-low-income-families/		Yesim Sayin Taylor		14-Feb-18		"Articles,  Education "
Confronting the opioid—and fentanyl—crisis in the District		https://www.dcpolicycenter.org/publications/confronting-opioid-and-fentanyl-crisis/		Matthew Pembleton		8-Feb-18		"Articles,  Health,  Public Safety "
Metrorail is no longer the second-busiest rapid transit system in the country		https://www.dcpolicycenter.org/publications/metrorail-is-no-longer-the-second-busiest-rapid-transit-system-in-the-country/		D.W. Rowlands		7-Feb-18		"Articles,  Transportation "
Sexual assaults in D.C.: What the data can (and can’t) tell us		https://www.dcpolicycenter.org/publications/sexual-assaults-d-c-data-can-cant-tell-us/		Shirin Arslan		31-Jan-18		"Articles,  Public Safety "
Banning suspensions is a blunt tool to reduce exclusionary discipline [Updated]		https://www.dcpolicycenter.org/publications/banning-suspensions-blunt-tool-reduce-exclusionary-discipline/		Chelsea Coffin & Kathryn Zickuhr		30-Jan-18		"Education,  Education Policy Initiative,  Reports "
