,ActNumber,Category,CommitteeReferral,CommitteeReferralComments,CouncilPeriod,Deemed,DeemedOn,DocumentUrl,Id,IntroductionDate,LawNumber,LegislationNumber,LegislationStatus,Modified,ShortTitle,Subcategory
0,,Bill,Committee on Housing and Neighborhood Revitalization,,23,,,http://lims.dccouncil.us/Download/41639/B23-0048-Introduction.pdf,41639,2019-01-08,,B23-0048,Under Council Review,2019-08-07,Housing Conversion and Eviction Clarification Amendment Act of 2019,Permanent Bill
1,A23-0107,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41704/B23-0075-Introduction.pdf,41704,2019-01-17,,B23-0075,Under Congressional Review,2019-08-05,Mypheduh Films DBA Sankofa Video and Books Real Property Tax Exemption Act of 2019,Permanent Bill
2,A23-0094,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41594/B23-0012-Introduction.pdf,41594,2019-01-04,,B23-0012,Under Congressional Review,2019-08-05,"Closing of a Portion of South Dakota Avenue, N.E., Adjacent to Squares 3760 and 3766 Act of 2019",Permanent Bill
3,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41771/B23-0103-Introduction.pdf,41771,2019-01-29,,B23-0103,Under Council Review,2019-07-24,Comprehensive Code of Conduct of the District of Columbia Establishment and BEGA Amendment Act of 2019,Permanent Bill
4,A23-0079,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41611/B23-0022-Introduction.pdf,41611,2019-01-07,,B23-0022,Under Congressional Review,2019-07-22,Adelaide Alley Designation Act of 2019,Permanent Bill
5,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41715/B23-0083-Introduction.pdf,41715,2019-01-22,,B23-0083,Under Council Review,2019-07-18,Vulnerable User Collision Recovery Amendment Act of 2019,Permanent Bill
6,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41729/B23-0095-Introduction.pdf,41729,2019-01-23,,B23-0095,Under Council Review,2019-07-18,Protecting Children Through Mandatory Reporting Amendment Act of 2019,Permanent Bill
7,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41630/B23-0039-Introduction.pdf,41630,2019-01-08,,B23-0039,Under Council Review,2019-07-18,Special Education Rights for Youth Defendants Amendment Act of 2019,Permanent Bill
8,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41709/B23-0079-Introduction.pdf,41709,2019-01-18,,B23-0079,Under Council Review,2019-07-18,Homestead Exemption Increase Amendment Act of 2019,Permanent Bill
9,,Bill,Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41515/B23-0001-Introduction.pdf,41515,2019-01-03,,B23-0001,Under Council Review,2019-07-17,Comprehensive Plan Amendment Act of 2017,Permanent Bill
10,,Bill,Committee on Human Services,,23,,,http://lims.dccouncil.us/Download/41740/B23-0097-Introduction.pdf,41740,2019-01-24,,B23-0097,Under Council Review,2019-07-16,Access to Public Benefits Amendment Act of 2019,Permanent Bill
11,A23-0076,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41592/B23-0010-Introduction.pdf,41592,2019-01-04,,B23-0010,Enacted,2019-07-15,"Closing of a Portion of South Dakota Avenue, N.E., Adjacent to Squares 3760 and 3766 Emergency Act of 2019",Emergency Bill
12,R23-0139,Resolution,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41591/PR23-0065-Introduction.pdf,41591,2019-01-04,,PR23-0065,Approved,2019-07-01,"Closing of a Portion of South Dakota Avenue, N.E., Adjacent to Squares 3760 and 3766 Emergency Declaration Resolution of 2019",Emergency Declaration Resolution
13,R23-0055,Resolution,Committee on Education and Committee of the Whole,,23,Approved,2019-05-01,http://lims.dccouncil.us/Download/41607/PR23-0069-Introduction.pdf,41607,2019-01-07,,PR23-0069,Approved,2019-07-01,State Superintendent of Education Hanseul Kang Confirmation Resolution of 2019,Proposed Resolution
14,,Bill,Committee on Government Operations,,23,,,http://lims.dccouncil.us/Download/41700/B23-0073-Introduction.pdf,41700,2019-01-16,,B23-0073,Under Council Review,2019-06-27,Attorney General Civil Rights Enforcement Clarification Amendment Act of 2019,Permanent Bill
15,,Bill,Committee on Education and Committee of the Whole,,23,,,http://lims.dccouncil.us/Download/41637/B23-0046-Introduction.pdf,41637,2019-01-08,,B23-0046,Under Council Review,2019-06-27,At-Risk School Funding Transparency Amendment Act of 2019,Permanent Bill
16,,Bill,Committee on Health and Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41769/B23-0102-Introduction.pdf,41769,2019-01-22,,B23-0102,Under Council Review,2019-06-26,Medical Marijuana Patient Health and Accessibility Improvement Amendment Act of 2019,Permanent Bill
17,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41601/B23-0018-Introduction.pdf,41601,2019-01-07,,B23-0018,Under Council Review,2019-06-25,Ghost Guns Prohibition Amendment Act of 2019,Permanent Bill
18,,Bill,Committee on Judiciary and Public Safety,,23,,,http://lims.dccouncil.us/Download/41621/B23-0031-Introduction.pdf,41621,2019-01-08,,B23-0031,Under Council Review,2019-06-21,Paid Leave to Vote Amendment Act of 2019,Permanent Bill
19,A23-0039,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41748/B23-0100-Introduction.pdf,41748,2019-01-31,L23-0007,B23-0100,Official Law,2019-06-17,Small and Certified Business Enterprise Development and Assistance Temporary Amendment Act of 2019,Temporary Bill
20,A23-0038,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41610/B23-0021-Introduction.pdf,41610,2019-01-07,L23-0006,B23-0021,Official Law,2019-06-17,Randall School Museum and Housing Development Real Property Tax Abatement Act of 2019,Permanent Bill
21,,Bill,Committee on Finance and Revenue,,23,,,http://lims.dccouncil.us/Download/41718/B23-0086-Introduction.pdf,41718,2019-01-22,,B23-0086,Under Council Review,2019-06-05,Supermarket Tax Incentives Eligible Area Amendment Act of 2019 ,Permanent Bill
22,A23-0020,Bill,Retained by the Council,,23,,,http://lims.dccouncil.us/Download/41780/B23-0109-Introduction.pdf,41780,2019-01-31,L23-0005,B23-0109,Official Law,2019-06-03,Bryant Street Tax Increment Financing Temporary Amendment Act of 2019,Temporary Bill
23,,Bill,Committee on Labor and Workforce Development,,23,,,http://lims.dccouncil.us/Download/41725/B23-0092-Introduction.pdf,41725,2019-01-22,,B23-0092,Under Council Review,2019-05-20,Grocery Store Development Projects Labor Peace Agreement Amendment Act of 2019,Permanent Bill
